method,comparison_protocol,velocity_direction,symmetry_verified,pd_threshold,mdv_mps,crossing_low_mps,crossing_high_mps,velocity_grid_min_mps,velocity_grid_max_mps,n_cases,n_seeds,mdv_seed_mean_mps,mdv_seed_std_mps,mdv_seed_ci95_low_mps,mdv_seed_ci95_high_mps,mdv_seed_p05_mps,mdv_seed_p95_mps,definition
MNEC physical,scientific_controlled,receding,False,0.5,4.0,4.0,4.0,4.0,4.0,5,5,4.0,0.0,4.0,4.0,4.0,4.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
MNEC physical,scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Phase-only CSI [production replay],production_replay,receding,False,0.5,4.0,4.0,4.0,4.0,4.0,5,5,4.0,0.0,4.0,4.0,4.0,4.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Phase-only CSI [production replay],production_replay,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Phase-only CSI [scientific controlled],scientific_controlled,receding,False,0.5,4.0,4.0,4.0,4.0,4.0,5,5,4.0,0.0,4.0,4.0,4.0,4.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Phase-only CSI [scientific controlled],scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Row complex LS / Wiener [scientific controlled],scientific_controlled,receding,False,0.5,4.0,4.0,4.0,4.0,4.0,5,5,4.0,0.0,4.0,4.0,4.0,4.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Row complex LS / Wiener [scientific controlled],scientific_controlled,zero,False,0.5,nan,nan,nan,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,receding,False,0.5,4.0,4.0,4.0,4.0,4.0,5,5,4.0,0.0,4.0,4.0,4.0,4.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Row complex LS / Wiener robust IRLS [scientific controlled],scientific_controlled,zero,False,0.5,nan,nan,nan,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
SA-MNEC physical [approximate academic reference],scientific_controlled,receding,False,0.5,4.0,4.0,4.0,4.0,4.0,5,5,4.0,0.0,4.0,4.0,4.0,4.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
SA-MNEC physical [approximate academic reference],scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Shrinkage-SMI/MVDR global,scientific_controlled,receding,False,0.5,4.0,4.0,4.0,4.0,4.0,5,5,4.0,0.0,4.0,4.0,4.0,4.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Shrinkage-SMI/MVDR global,scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Shrinkage-SMI/MVDR local,scientific_controlled,receding,False,0.5,4.0,4.0,4.0,4.0,4.0,5,5,4.0,0.0,4.0,4.0,4.0,4.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
Shrinkage-SMI/MVDR local,scientific_controlled,zero,False,0.5,0.0,0.0,0.0,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0,smallest absolute regenerated signed-radial-speed grid value with direction-specific seed-mean empirical Pd >= threshold; approaching/receding are not combined unless symmetry is verified
