method,lambda,split,scene_id,family,snr_db,target_id,on_hit,off_hit,paired_causal_hit,on_cfar_margin_db,off_cfar_margin_db,delta_cfar_margin_db,paired_hit_definition
J6_Joint_Phase_Surface,0.75,target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,1.0,target_safe_oracle,target_safe_oracle_003,M1+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J0_Current,0.0,target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,0.25,target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,0.5,target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,0.75,target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,1.0,target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,0.25,target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,0.5,target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,0.75,target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,1.0,target_safe_oracle,target_safe_oracle_004,M2+M3,14.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J0_Current,0.0,target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.25,target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.5,target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.75,target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,1.0,target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.25,target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.5,target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.75,target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,1.0,target_safe_oracle,target_safe_oracle_005,M1+M2+M3,14.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J0_Current,0.0,target_safe_oracle,target_safe_oracle_006,M1,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,0.25,target_safe_oracle,target_safe_oracle_006,M1,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,0.5,target_safe_oracle,target_safe_oracle_006,M1,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,0.75,target_safe_oracle,target_safe_oracle_006,M1,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,1.0,target_safe_oracle,target_safe_oracle_006,M1,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,0.25,target_safe_oracle,target_safe_oracle_006,M1,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,0.5,target_safe_oracle,target_safe_oracle_006,M1,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,0.75,target_safe_oracle,target_safe_oracle_006,M1,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,1.0,target_safe_oracle,target_safe_oracle_006,M1,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J0_Current,0.0,target_safe_oracle,target_safe_oracle_007,M2,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,0.25,target_safe_oracle,target_safe_oracle_007,M2,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,0.5,target_safe_oracle,target_safe_oracle_007,M2,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,0.75,target_safe_oracle,target_safe_oracle_007,M2,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J5_Selective_Physics_Calibration,1.0,target_safe_oracle,target_safe_oracle_007,M2,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,0.25,target_safe_oracle,target_safe_oracle_007,M2,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,0.5,target_safe_oracle,target_safe_oracle_007,M2,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,0.75,target_safe_oracle,target_safe_oracle_007,M2,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J6_Joint_Phase_Surface,1.0,target_safe_oracle,target_safe_oracle_007,M2,16.0,MISMATCH_B01_S000_R00,True,False,True,nan,nan,nan,
J0_Current,0.0,target_safe_oracle,target_safe_oracle_008,M1+M2,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.25,target_safe_oracle,target_safe_oracle_008,M1+M2,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.5,target_safe_oracle,target_safe_oracle_008,M1+M2,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.75,target_safe_oracle,target_safe_oracle_008,M1+M2,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,1.0,target_safe_oracle,target_safe_oracle_008,M1+M2,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.25,target_safe_oracle,target_safe_oracle_008,M1+M2,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.5,target_safe_oracle,target_safe_oracle_008,M1+M2,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.75,target_safe_oracle,target_safe_oracle_008,M1+M2,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,1.0,target_safe_oracle,target_safe_oracle_008,M1+M2,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J0_Current,0.0,target_safe_oracle,target_safe_oracle_009,M1+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.25,target_safe_oracle,target_safe_oracle_009,M1+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.5,target_safe_oracle,target_safe_oracle_009,M1+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.75,target_safe_oracle,target_safe_oracle_009,M1+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,1.0,target_safe_oracle,target_safe_oracle_009,M1+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.25,target_safe_oracle,target_safe_oracle_009,M1+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.5,target_safe_oracle,target_safe_oracle_009,M1+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.75,target_safe_oracle,target_safe_oracle_009,M1+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,1.0,target_safe_oracle,target_safe_oracle_009,M1+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J0_Current,0.0,target_safe_oracle,target_safe_oracle_010,M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.25,target_safe_oracle,target_safe_oracle_010,M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.5,target_safe_oracle,target_safe_oracle_010,M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.75,target_safe_oracle,target_safe_oracle_010,M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,1.0,target_safe_oracle,target_safe_oracle_010,M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.25,target_safe_oracle,target_safe_oracle_010,M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.5,target_safe_oracle,target_safe_oracle_010,M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.75,target_safe_oracle,target_safe_oracle_010,M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,1.0,target_safe_oracle,target_safe_oracle_010,M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J0_Current,0.0,target_safe_oracle,target_safe_oracle_011,M1+M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.25,target_safe_oracle,target_safe_oracle_011,M1+M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.5,target_safe_oracle,target_safe_oracle_011,M1+M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,0.75,target_safe_oracle,target_safe_oracle_011,M1+M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J5_Selective_Physics_Calibration,1.0,target_safe_oracle,target_safe_oracle_011,M1+M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.25,target_safe_oracle,target_safe_oracle_011,M1+M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.5,target_safe_oracle,target_safe_oracle_011,M1+M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,0.75,target_safe_oracle,target_safe_oracle_011,M1+M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
J6_Joint_Phase_Surface,1.0,target_safe_oracle,target_safe_oracle_011,M1+M2+M3,16.0,MISMATCH_B01_S000_R00,False,False,False,nan,nan,nan,
