target,validation_mode,holdout_group,n,n_folds,ridge_lambda,rmse,mae,r2,scope,n_train,n_test,fold_rmse,fold_mae
current_SCNR_improvement_dB,leave_one_case_out,aggregate,12,12,1.0,5.4035664229294555,4.548510329787373,-0.3769682609968721,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,,,,
best_adaptive_SCNR_improvement_dB,leave_one_case_out,9,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,2.0596324232152776,2.0596324232152776
best_adaptive_SCNR_improvement_dB,leave_one_case_out,10,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,3.1064449098070757,3.1064449098070757
best_adaptive_SCNR_improvement_dB,leave_one_case_out,11,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,3.691112478039459,3.691112478039459
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,aggregate,12,12,1.0,4.339310755707061,3.9104220209977854,0.4365169685666712,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,,,,
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261151,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,1.8875365858283293,1.8875365858283293
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261152,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,4.97667210734341,4.97667210734341
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261153,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,6.7640457906812,6.7640457906812
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261154,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,5.5889129350558715,5.5889129350558715
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261155,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,0.06298664103596963,0.06298664103596963
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261156,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,4.211488070361956,4.211488070361956
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261157,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,3.8636071578328988,3.8636071578328988
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261158,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,6.595761229325854,6.595761229325854
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261159,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,4.116863923446127,4.116863923446127
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261160,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,2.0596324232152776,2.0596324232152776
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261161,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,3.1064449098070757,3.1064449098070757
best_adaptive_SCNR_improvement_dB,leave_one_seed_out,20261162,,,1.0,,,,exploratory input-feature screen only; fold imputation/normalization fitted on training data; no production model,11,1,3.691112478039459,3.691112478039459
