scene_id,working_point,seed,delay_error_ns,target_velocity_mps,target_snr_db,level,method,status,estimate_ns,truth_ns,error_ns,runtime_sec,fallback_reason,snr_db,bias_ns,rmse_ns,std_ns,ci95_low_ns,ci95_high_ns,outlier_rate,fallback_rate,fallback_count,finite_estimate_count,trials,mean_runtime_sec,random_seed_namespace,sampling_rate_hz,bandwidth_hz,pulse_samples
base__seed_101__v_p6d7__snr_p35__delay_p8ns,base,101,8.0,6.7,35.0,level2,D2_weighted_LS,ok,5.913071873700761,8.0,-2.086928126299239,0.0001432450080756098,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p8ns,base,101,8.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,5.884241046931248,8.0,-2.1157589530687524,0.0012013459927402437,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p8ns,base,101,8.0,6.7,35.0,level2,cross_correlation,ok,2.5725344363738634,8.0,-5.427465563626137,3.3194783640210517,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_p8ns,base,101,8.0,6.7,35.0,level2,gcc_phat,ok,0.3850000405683121,8.0,-7.614999959431688,1.8808097810251638,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m8ns,base,101,-8.0,6.7,35.0,level2,D1_ordinary_LS,ok,-2.0788005693215172,-8.0,5.921199430678483,0.00161836898769252,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m8ns,base,101,-8.0,6.7,35.0,level2,D2_weighted_LS,ok,-2.1701257329777603,-8.0,5.829874267022239,0.00015190598787739873,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m8ns,base,101,-8.0,6.7,35.0,level2,D3_Huber_weighted_LS,ok,-2.2232137363653353,-8.0,5.776786263634665,0.00286092099850066,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m8ns,base,101,-8.0,6.7,35.0,level2,cross_correlation,ok,-2.6174358664065633,-8.0,5.382564133593437,2.032618558994727,,,,,,,,,,,,,,,,,
base__seed_101__v_p6d7__snr_p35__delay_m8ns,base,101,-8.0,6.7,35.0,level2,gcc_phat,ok,-0.40874308204278376,-8.0,7.5912569179572165,1.3301605580199976,,,,,,,,,,,,,,,,,
base__seed_101__v_p12__snr_p30__delay_p0ns,base,101,0.0,12.0,30.0,level2,D1_ordinary_LS,ok,-0.029635960372710345,0.0,-0.029635960372710345,0.00018431100761517882,,,,,,,,,,,,,,,,,
