branch,period_id,track_id,matched_det_index,resolved_source,eligible,matched_truth,position_error_m,range_error_m,seed
blind_calibrated,1,32,4,measurement,1,0,1430.8229381280428,1423.5855529999972,101
blind_calibrated,1,34,0,measurement,1,1,3.370015738757091,0.42862249999598134,101
blind_calibrated,2,3,9,measurement,1,0,4738.198857616462,4725.999129849995,101
blind_calibrated,2,5,17,measurement,1,0,2441.0651145370193,2369.089042816704,101
blind_calibrated,2,10,0,measurement,1,1,44.48659288822802,0.7286246167059289,101
blind_calibrated,2,11,6,measurement,1,0,1887.5963335247166,1879.4280280833045,101
blind_calibrated,2,12,20,measurement,1,0,1337.4719420904764,965.0610311833007,101
blind_calibrated,2,15,27,measurement,1,0,1535.7289964710203,1400.801116533301,101
blind_calibrated,2,17,26,measurement,1,0,4850.53398594184,4840.919572083294,101
blind_calibrated,2,18,18,measurement,1,0,734.4291582721414,733.7628974832915,101
blind_calibrated,2,19,3,measurement,1,0,4259.0262299153155,4221.348492216697,101
blind_calibrated,2,21,7,measurement,1,0,1815.436472676905,1664.5767665167077,101
blind_calibrated,2,26,2,measurement,1,0,343.72493212907904,314.05345628329087,101
blind_calibrated,2,32,10,measurement,1,0,1387.5722099105049,1382.2722019000066,101
blind_calibrated,2,34,29,measurement,1,1,3.915431586171813,1.7696458666905528,101
blind_calibrated,2,43,19,measurement,1,0,2913.0922866507267,2638.902255016699,101
blind_calibrated,2,44,5,measurement,1,0,4039.8518669512196,4012.9510208499996,101
blind_calibrated,2,53,13,measurement,1,0,1054.1166101825336,1053.541519349994,101
blind_calibrated,2,58,15,measurement,1,0,1043.9169140058707,1023.5622735499928,101
blind_calibrated,2,63,25,measurement,1,0,1913.4400751630785,1805.520934833301,101
known_error_calibrated,1,1,44,measurement,1,1,14.386855501945748,2.9268929833051516,101
known_error_calibrated,1,3,21,measurement,1,0,4675.8379425672865,4664.699614883299,101
known_error_calibrated,1,5,9,measurement,1,0,2453.8902183960536,2377.924877633297,101
known_error_calibrated,1,7,37,measurement,1,0,3919.1860211543935,3889.3785200499988,101
known_error_calibrated,1,8,34,measurement,1,0,566.9486986854014,514.215097066699,101
known_error_calibrated,1,9,33,measurement,1,0,682.6107899756122,580.0273746332969,101
known_error_calibrated,1,11,1,measurement,1,0,1933.7420477368457,1915.7448382167058,101
known_error_calibrated,1,14,17,measurement,1,0,1448.6236664013934,1431.937609450004,101
known_error_calibrated,1,16,18,measurement,1,0,3001.2911959578746,2995.854932016693,101
known_error_calibrated,1,17,23,measurement,1,0,4691.5807401125985,4682.187508266696,101
known_error_calibrated,1,20,42,measurement,1,0,3736.044509058799,3727.848183633294,101
known_error_calibrated,1,22,38,measurement,1,0,3943.5435705894056,3927.709822299992,101
known_error_calibrated,1,25,36,measurement,1,0,3791.0357386213586,3772.8170523332956,101
known_error_calibrated,1,31,12,measurement,1,0,3172.903269577021,3159.883538916707,101
known_error_calibrated,1,32,4,measurement,1,0,1430.8229381280428,1423.5855529999972,101
known_error_calibrated,1,34,0,measurement,1,1,3.370015738757091,0.42862249999598134,101
known_error_calibrated,2,3,9,measurement,1,0,4738.198857616462,4725.999129849995,101
known_error_calibrated,2,5,17,measurement,1,0,2441.0651145370193,2369.089042816704,101
known_error_calibrated,2,10,0,measurement,1,1,44.48659288822802,0.7286246167059289,101
known_error_calibrated,2,11,6,measurement,1,0,1887.5963335247166,1879.4280280833045,101
known_error_calibrated,2,12,20,measurement,1,0,1337.4719420904764,965.0610311833007,101
known_error_calibrated,2,15,27,measurement,1,0,1535.7289964710203,1400.801116533301,101
known_error_calibrated,2,17,26,measurement,1,0,4850.53398594184,4840.919572083294,101
known_error_calibrated,2,18,18,measurement,1,0,734.4291582721414,733.7628974832915,101
known_error_calibrated,2,19,3,measurement,1,0,4259.0262299153155,4221.348492216697,101
known_error_calibrated,2,21,7,measurement,1,0,1815.436472676905,1664.5767665167077,101
known_error_calibrated,2,26,2,measurement,1,0,343.72493212907904,314.05345628329087,101
known_error_calibrated,2,32,10,measurement,1,0,1387.5722099105049,1382.2722019000066,101
known_error_calibrated,2,34,29,measurement,1,1,3.915431586171813,1.7696458666905528,101
known_error_calibrated,2,43,19,measurement,1,0,2913.0922866507267,2638.902255016699,101
known_error_calibrated,2,44,5,measurement,1,0,4039.8518669512196,4012.9510208499996,101
known_error_calibrated,2,53,13,measurement,1,0,1054.1166101825336,1053.541519349994,101
known_error_calibrated,2,58,15,measurement,1,0,1043.9169140058707,1023.5622735499928,101
known_error_calibrated,2,63,25,measurement,1,0,1913.4400751630785,1805.520934833301,101
Current,1,1,0,measurement,1,1,3.3387437105031883,0.42862249999598134,202
Current,1,2,13,measurement,1,0,1492.2781449830973,1469.4116666999907,202
Current,1,7,6,measurement,1,0,2885.7951216149445,2865.0876218833,202
Current,1,10,8,measurement,1,0,1745.5286345121851,1738.3676339000085,202
Current,1,13,16,measurement,1,0,4117.810361718712,4106.728052100007,202
Current,1,16,9,measurement,1,0,833.9714604383304,814.0075550666952,202
Current,1,17,10,measurement,1,0,421.3235164839811,336.83789275000163,202
