source_key,source_file,truth_delta_m,case_count,six_fit_count,six_fit_failure_rate,six_fallback_rate,six_estimate_mean_m,six_estimate_ci95_low_m,six_estimate_ci95_high_m,six_bias_mean_m,six_rmse_m,single_fit_count,single_fit_failure_rate,single_fallback_rate,single_estimate_mean_m,single_estimate_ci95_low_m,single_estimate_ci95_high_m,single_bias_mean_m,single_rmse_m,six_minus_single_rmse_m,mean_six_pair_residual_rmse_rad,mean_closure_residual_rad,mean_closure_p95_rad,mean_cross_pair_consistency_m,six_fit_status,six_estimate_m,six_error_m,six_abs_error_m,single_fit_status,single_estimate_m,single_error_m,single_abs_error_m,six_pair_residual_rmse_rad,closure_residual_mean_abs_rad,closure_residual_p95_rad,cross_pair_consistency_m,six_observation_count,six_fallback,six_failure,single_fallback,single_failure,C13_estimate_m,C13_residual_rmse_rad,C13_observation_count,C24_estimate_m,C24_residual_rmse_rad,C24_observation_count,C12_estimate_m,C12_residual_rmse_rad,C12_observation_count,C14_estimate_m,C14_residual_rmse_rad,C14_observation_count,C23_estimate_m,C23_residual_rmse_rad,C23_observation_count,C34_estimate_m,C34_residual_rmse_rad,C34_observation_count,case_id,seed,stage2_exit_code,stage2_runtime_sec,raw_retained,case_status,raw_size_bytes,raw_sha256,estimator_metadata_keys,condition_id,split,ve_mps,vn_mps,production_exit_code,raw_path,production_root,status,csi_manifest,csi_valid_cells,csi_cancellation_db,csi_coherence,csi_rmse_rad,csi_status,csi_az_st,csi_az_ed,csi_rg_st,csi_rg_ed,cfar_hit_cells,cfar_clusters,cfar_selected,cfar_test_cells,cfar_pfa,cfar_pfa_definition,cfar_configured_pfa,cfar_summary_found,timing,p4_eval_status,target_detection_pd,target_detection_count,target_false_alarm_count,target_matched_count,target_mean_position_error_m,target_mean_velocity_error_mps,comparison,metric,metric_direction,current_condition,estimated_condition,known_condition,current_value,estimated_value,known_value,recoverable_space_known_minus_current,actual_recovered_estimated_minus_current,recovery_ratio,hypothesis,hypothesis_name,cut_count_requested,valid_cut_count,hit_count,excluded_cut_count,invalid_cut_count,duplicate_cut_count,empirical_rate,wilson95_low,wilson95_high,metric_definition,configured_pfa,threshold_status,independent_cut_set,training_reuse,cut_id_namespace,structured_clutter,correction
geometry,matrix_summary.csv,0.0,3,3,0.0,0.0,0.00015916666666666775,0.00014750000000000077,0.00016500000000000127,0.00015916666666666775,0.0001593803103690468,3,0.0,0.0,0.00017500000000000154,0.00016000000000000112,0.00019500000000000214,0.00017500000000000154,0.00017561795656101693,-1.6237646191970132e-05,0.006348578510525295,0.00028024687235459947,0.000616723731724167,3.833333333333444e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry,matrix_summary.csv,0.001,3,3,0.0,0.0,0.0011583333333333352,0.0011450000000000015,0.0011650000000000022,0.0001583333333333352,0.0001586137867063703,3,0.0,0.0,0.0011733333333333346,0.001155000000000002,0.0011949999999999994,0.0001733333333333345,0.00017411681902293943,-1.5503032316569143e-05,0.006337032637141775,0.00027925369019124094,0.0006126196078801993,3.8333333333332135e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry,matrix_summary.csv,-0.001,3,3,0.0,0.0,-0.0008424999999999998,-0.0008550000000000002,-0.0008349999999999995,0.0001575000000000002,0.00015775112255279433,3,0.0,0.0,-0.0008249999999999993,-0.0008399999999999999,-0.0008049999999999988,0.00017500000000000068,0.00017561795656101606,-1.786683400822173e-05,0.0063591053083836965,0.00028150851001978647,0.0006195300139925272,4.0000000000001155e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry,matrix_summary.csv,0.0025,3,3,0.0,0.0,0.0026616666666666663,0.0026474999999999992,0.00267,0.0001616666666666666,0.00016197993702925055,3,0.0,0.0,0.0026750000000000003,0.002655,0.0026950000000000008,0.00017500000000000024,0.00017576025337563315,-1.3780316346382595e-05,0.006317904178896161,0.0002782069409687458,0.0006134948709560217,3.5000000000001034e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry,matrix_summary.csv,-0.0025,3,3,0.0,0.0,-0.0023441666666666645,-0.002354999999999998,-0.0023349999999999977,0.0001558333333333355,0.00015605154063108129,3,0.0,0.0,-0.002328333333333332,-0.0023399999999999975,-0.0023100000000000004,0.0001716666666666682,0.000172167554047408,-1.6116013416326717e-05,0.006370907525068244,0.00028271259675483306,0.0006238997610764166,4.166666666666555e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry,matrix_summary.csv,0.005,3,3,0.0,0.0,0.005162500000000001,0.005147500000000002,0.005172500000000001,0.00016250000000000148,0.0001628585787321845,3,0.0,0.0,0.005176666666666667,0.005155000000000002,0.0052,0.0001766666666666667,0.00017762319668331605,-1.4764617951131546e-05,0.006284665355105354,0.00027955587197612896,0.0006482755173177063,3.333333333333169e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry,matrix_summary.csv,-0.005,3,3,0.0,0.0,-0.004845833333333333,-0.004857500000000001,-0.0048375,0.00015416666666666674,0.00015440072322801265,3,0.0,0.0,-0.004828333333333334,-0.00484,-0.004810000000000001,0.00017166666666666662,0.00017216755404740648,-1.7766830819393838e-05,0.006379802792188535,0.0002843667585682277,0.0006325018199175719,4.166666666666728e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry,matrix_summary.csv,0.01,3,3,0.0,0.0,0.010169166666666667,0.010154999999999999,0.0101825,0.00016916666666666642,0.00016953981833185954,3,0.0,0.0,0.01018,0.010154999999999999,0.010205,0.0001799999999999996,0.00018115371005493247,-1.161389172307293e-05,0.006238296104739475,0.00027883598930238275,0.0006836314324055875,3.166666666666711e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry,matrix_summary.csv,-0.01,3,3,0.0,0.0,-0.009850833333333335,-0.00986,-0.00984,0.00014916666666666667,0.00014939461168328664,3,0.0,0.0,-0.009833333333333333,-0.009845,-0.00982,0.0001666666666666674,0.00016698303307023012,-1.758842138694348e-05,0.0063498796316942855,0.0002945454620266916,0.0006487824197091244,4.0000000000000105e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.0,,,,,,,,,,,,,,,,,,,,,,,fit,0.00016500000000000125,0.00016500000000000125,0.00016500000000000125,fit,0.00019500000000000214,0.00019500000000000214,0.00019500000000000214,0.006023602770215942,0.00029533617164187144,0.0006520100037010201,6.000000000000173e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006837050156677682,36,,0.005759455064423348,36,0.00019500000000000214,0.006748756634429001,36,0.00017500000000000154,0.005890616513036421,36,0.00015500000000000098,0.005225679092199499,36,0.0001350000000000004,0.004940057563942434,36,baseline_zero_seed_101,101,0,0.11613080301322043,False,completed,9446400,14034897dc505f04da5dfdc54bcc3b71b873a085f53685368033232f3ed88058,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.0,,,,,,,,,,,,,,,,,,,,,,,fit,0.00016500000000000127,0.00016500000000000127,0.00016500000000000127,fit,0.00017000000000000142,0.00017000000000000142,0.00017000000000000142,0.00659211062994422,0.00029124518235066406,0.0006546031649632689,3.0000000000000865e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.0062325251296059085,36,,0.006604510046637731,36,0.00017000000000000142,0.0060275888549739635,36,0.00015000000000000083,0.006518943683763209,36,0.0001800000000000017,0.007587137523314555,36,0.00016000000000000112,0.006297890023405031,36,baseline_zero_seed_202,202,0,0.10010730096837506,False,completed,9446400,9c3d3228a107a58d0b10b691beda2387f5e5972a7a8280165690ae3d21fcb59d,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.0,,,,,,,,,,,,,,,,,,,,,,,fit,0.00014750000000000077,0.00014750000000000077,0.00014750000000000077,fit,0.00016000000000000112,0.00016000000000000112,0.00016000000000000112,0.006430022131415722,0.000254159263071263,0.0005435580265082118,2.5000000000000716e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006365929646368722,36,,0.0063419434868185786,36,0.00016000000000000112,0.007740776049243777,36,0.0001450000000000007,0.006390748621284671,36,0.00015000000000000083,0.00586378348126722,36,0.0001350000000000004,0.005555963188239812,36,baseline_zero_seed_303,303,0,0.0771195120178163,False,completed,9446400,1139892768f74fc7294cf5920416e5ff31b9242381cdaee208f3c6fd1d928688,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.001,,,,,,,,,,,,,,,,,,,,,,,fit,0.0011650000000000022,0.00016500000000000217,0.00016500000000000217,fit,0.0011949999999999994,0.00019499999999999943,0.00019499999999999943,0.006025533172736732,0.00029546445399595184,0.0006411783028368034,5.9999999999998206e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006837050156677682,36,,0.005727141886160919,36,0.0011949999999999994,0.0067534812151292855,36,0.0011750000000000024,0.005936062676451776,36,0.001155000000000002,0.005220887653962107,36,0.0011350000000000012,0.004922358842362897,36,baseline_p1p000mm_seed_101,101,0,0.08782959502423182,False,completed,9446400,f7737d9b662b0e4e7e871e15ff1d2bdea19a29b36ee1cd1276c2fc2f22a12d26,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.001,,,,,,,,,,,,,,,,,,,,,,,fit,0.001165000000000002,0.00016500000000000195,0.00016500000000000195,fit,0.0011700000000000022,0.00017000000000000218,0.00017000000000000218,0.006543444068878384,0.00029031127731199733,0.00065439884446436,3.499999999999749e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.0062325251296059085,36,,0.006476044561929146,36,0.0011700000000000022,0.005972896366104305,36,0.0011500000000000017,0.006517585345305815,36,0.0011849999999999992,0.007533542781351673,36,0.001160000000000002,0.006259555995102997,36,baseline_p1p000mm_seed_202,202,0,0.12796583399176598,False,completed,9446400,5d2456e23ef2c57751a3ce7c5ca386e9313d98d630ebb9edc2717ad911cdd105,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.001,,,,,,,,,,,,,,,,,,,,,,,fit,0.0011450000000000015,0.00014500000000000146,0.00014500000000000146,fit,0.001155000000000002,0.00015500000000000192,0.00015500000000000192,0.006442120669810209,0.00025198533926577377,0.0005422816763394345,2.0000000000000703e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006365929646368722,36,,0.006346902837668975,36,0.001155000000000002,0.007774606312010892,36,0.0011450000000000015,0.006351490422908992,36,0.0011450000000000015,0.005926867570103472,36,0.0011350000000000012,0.0055763638329709864,36,baseline_p1p000mm_seed_303,303,0,0.09329197998158634,False,completed,9446400,6328dfae0d32428ec9d002fd706e13c4ffed47f7bbaf8679e9790d66982e0275,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,-0.001,,,,,,,,,,,,,,,,,,,,,,,fit,-0.0008349999999999996,0.00016500000000000043,0.00016500000000000043,fit,-0.0008049999999999988,0.00019500000000000127,0.00019500000000000127,0.00602122035746572,0.0002953153914236663,0.0006619057124575278,6.0000000000001784e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006837050156677682,36,,0.0057832876821762805,36,-0.0008049999999999988,0.006741753159395495,36,-0.0008249999999999993,0.005853481547321427,36,-0.0008449999999999999,0.00522718127900564,36,-0.0008650000000000005,0.004962755189791238,36,baseline_m1p000mm_seed_101,101,0,0.09161079698242247,False,completed,9446400,ade72c3341ccbe7fa2d2d1442ccc25c686878e8727fd20c3e640d8cb79176b3c,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,-0.001,,,,,,,,,,,,,,,,,,,,,,,fit,-0.0008374999999999997,0.00016250000000000032,0.00016250000000000032,fit,-0.0008299999999999995,0.00017000000000000055,0.00017000000000000055,0.006640954728353478,0.0002917485473771859,0.0006521068511370076,3.500000000000096e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.0062325251296059085,36,,0.006731668611838461,36,-0.0008299999999999995,0.006079646312746414,36,-0.0008550000000000002,0.006521394327821674,36,-0.0008199999999999992,0.007636722072487928,36,-0.0008449999999999999,0.006336050148372574,36,baseline_m1p000mm_seed_202,202,0,0.0872971760109067,False,completed,9446400,afa9160748baea913e1348b5d9f6df66dbe633169a3a688a053394498c7a6baf,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,-0.001,,,,,,,,,,,,,,,,,,,,,,,fit,-0.0008550000000000002,0.00014499999999999984,0.00014499999999999984,fit,-0.0008399999999999998,0.0001600000000000002,0.0001600000000000002,0.00641514083933189,0.00025746159125850717,0.0005445774783830459,2.5000000000000716e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006365929646368722,36,,0.00633476028059155,36,-0.0008399999999999998,0.007700396840067159,36,-0.0008600000000000003,0.006427228708292829,36,-0.0008500000000000001,0.005797742561971185,36,-0.0008650000000000005,0.005531901245602425,36,baseline_m1p000mm_seed_303,303,0,0.07669066800735891,False,completed,9446400,91eccc2cbac321922a22d4a9e8ed1f6b63693dad208e2ae1121aed10b6996dba,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.0025,,,,,,,,,,,,,,,,,,,,,,,fit,0.0026675,0.00016750000000000011,0.00016750000000000011,fit,0.0026950000000000008,0.00019500000000000073,0.00019500000000000073,0.006027824508936465,0.00029462958686036735,0.0006178003747788762,6.000000000000146e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006837050156677682,36,,0.005664293101084999,36,0.0026950000000000008,0.0067558298519016105,36,0.0026750000000000003,0.006019512679229596,36,0.00266,0.005205579904821591,36,0.0026349999999999993,0.004906378196933644,36,baseline_p2p500mm_seed_101,101,0,0.08121765498071909,False,completed,9446400,e43a2d0e05906037e2f2a96e4f9d087e935be6286c8d568aae7b7520526ebe6b,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.0025,,,,,,,,,,,,,,,,,,,,,,,fit,0.00267,0.00017,0.00017,fit,0.0026750000000000003,0.00017500000000000024,0.00017500000000000024,0.006471065031529306,0.0002898321158702107,0.0006827936622716135,3.0000000000000946e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.0062325251296059085,36,,0.0062864401411001905,36,0.0026750000000000003,0.005888249303253367,36,0.002655,0.006522882094776437,36,0.0026850000000000008,0.0074454236780567215,36,0.002665,0.006210394875865548,36,baseline_p2p500mm_seed_202,202,0,0.07652862998656929,False,completed,9446400,f95c5239d0e6df881b92c16c907459fefa1f09e22f207878abcb43627d835da4,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.0025,,,,,,,,,,,,,,,,,,,,,,,fit,0.0026474999999999997,0.00014749999999999963,0.00014749999999999963,fit,0.002655,0.00015499999999999976,0.00015499999999999976,0.006454822996222709,0.00025015912017565937,0.0005398905758175753,1.500000000000069e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006365929646368722,36,,0.006349951691219202,36,0.002655,0.007810865366705922,36,0.0026499999999999996,0.006287937120238712,36,0.0026449999999999993,0.006015283938625221,36,0.002639999999999999,0.005597986022552392,36,baseline_p2p500mm_seed_303,303,0,0.07656264200340956,False,completed,9446400,caa07564efe7992bda97e87ffd38635f607d357e334f1bfa2495ebbbae6acce9,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,-0.0025,,,,,,,,,,,,,,,,,,,,,,,fit,-0.0023349999999999977,0.00016500000000000238,0.00016500000000000238,fit,-0.0023100000000000004,0.00018999999999999963,0.00018999999999999963,0.006016574270395957,0.00029424751797619956,0.0006748952005984353,5.499999999999776e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006837050156677682,36,,0.005802120791105299,36,-0.0023100000000000004,0.006724398925835014,36,-0.002324999999999997,0.005813141194772157,36,-0.0023449999999999977,0.005224047152798121,36,-0.002364999999999998,0.005004569612811151,36,baseline_m2p500mm_seed_101,101,0,0.07765274302801117,False,completed,9446400,63ddabf44588140e968fd6ad741c48d4bad840d46e452063157fefb848e3a7e2,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,-0.0025,,,,,,,,,,,,,,,,,,,,,,,fit,-0.002342499999999998,0.00015750000000000226,0.00015750000000000226,fit,-0.0023349999999999977,0.00016500000000000238,0.00016500000000000238,0.00670816384638419,0.0002916774475112867,0.0006511830601843849,3.9999999999997937e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.0062325251296059085,36,,0.006914959153842094,36,-0.0023349999999999977,0.006147669246311672,36,-0.0023599999999999984,0.006530332050653562,36,-0.0023200000000000004,0.0077022672637011794,36,-0.002349999999999998,0.006397283470225977,36,baseline_m2p500mm_seed_202,202,0,0.07653861399739981,False,completed,9446400,376d001ab12ea5df95dfd897d46dbc6cdd2c96e0ff0dc1f5f6d4f4642e4d9d6d,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,-0.0025,,,,,,,,,,,,,,,,,,,,,,,fit,-0.002354999999999998,0.0001450000000000019,0.0001450000000000019,fit,-0.0023399999999999975,0.0001600000000000026,0.0001600000000000026,0.006387984458424587,0.00026221282477701297,0.0005456210224464297,3.0000000000000946e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006365929646368722,36,,0.0063202874817604796,36,-0.0023399999999999975,0.007628894385747641,36,-0.0023599999999999984,0.006472375141387876,36,-0.002349999999999998,0.005696048646664831,36,-0.0023699999999999984,0.005482858051090248,36,baseline_m2p500mm_seed_303,303,0,0.0774085019947961,False,completed,9446400,5befc6ee0564ee31679aaaeb14829328b3cf2b2c775307cd83104fa2d21d1a02,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.005,,,,,,,,,,,,,,,,,,,,,,,fit,0.005167500000000002,0.00016750000000000185,0.00016750000000000185,fit,0.0052,0.00019999999999999966,0.00019999999999999966,0.006030837501146049,0.00029112977784666007,0.0006488655447708519,6.499999999999822e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006837050156677682,36,,0.005528939570939751,36,0.0052,0.006741859053117056,36,0.0051750000000000025,0.006195984359970058,36,0.005160000000000002,0.0051566603579110675,36,0.0051350000000000015,0.004910224295830482,36,baseline_p5p000mm_seed_101,101,0,0.07417381001869217,False,completed,9446400,3dab63bccfe7dd9b1497f1bc12cab7b69d9fc7d54e0623c34c47627a446f375c,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.005,,,,,,,,,,,,,,,,,,,,,,,fit,0.005172500000000001,0.00017250000000000078,0.00017250000000000078,fit,0.005174999999999999,0.00017499999999999894,0.00017499999999999894,0.006364027938486037,0.0002927340968066196,0.0007613007695419227,2.4999999999997247e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.0062325251296059085,36,,0.006001838411952862,36,0.005174999999999999,0.005745303328220278,36,0.005160000000000002,0.006553271015172056,36,0.0051849999999999995,0.007296388013683775,36,0.005170000000000003,0.006153686587502101,36,baseline_p5p000mm_seed_202,202,0,0.08163404400693253,False,completed,9446400,dbefe2d17f3c841b6141abef9055b46c45a340b50792bd1a8f17e7a9f3227c4b,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,0.005,,,,,,,,,,,,,,,,,,,,,,,fit,0.005147500000000002,0.0001475000000000018,0.0001475000000000018,fit,0.005155000000000002,0.0001550000000000015,0.0001550000000000015,0.006459130625683978,0.0002548037412751071,0.0005346602376403442,9.999999999999593e-06,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006365929646368722,36,,0.006342876836231305,36,0.005155000000000002,0.00783387506155629,36,0.005150000000000002,0.0061681049964817216,36,0.005145000000000002,0.006144157557794058,36,0.005145000000000002,0.005614179283898537,36,baseline_p5p000mm_seed_303,303,0,0.11352808197261766,False,completed,9446400,92f8390599a16d621eab7cf3c248aaf02aaa7c07a29b42f30b9fecc90a442a8b,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,-0.005,,,,,,,,,,,,,,,,,,,,,,,fit,-0.0048375,0.00016250000000000032,0.00016250000000000032,fit,-0.004810000000000001,0.0001899999999999992,0.0001899999999999992,0.006005020483855725,0.00029285875335406355,0.0006912388089243687,5.4999999999999494e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.006837050156677682,36,,0.005787015379668068,36,-0.004810000000000001,0.006686300889467768,36,-0.004824999999999999,0.005783976034580479,36,-0.00485,0.005201772913552386,36,-0.004865,0.005087633959306283,36,baseline_m5p000mm_seed_101,101,0,0.07866189099149778,False,completed,9446400,a45145f691a3899b0763c762de5652076808057c412b01ceb1c91a256c92b952,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geometry_nuisance,matrix_rows.csv,-0.005,,,,,,,,,,,,,,,,,,,,,,,fit,-0.0048425,0.00015750000000000052,0.00015750000000000052,fit,-0.004835,0.00016500000000000022,0.00016500000000000022,0.00680247182646858,0.0002900263429928104,0.0006602090860405307,3.5000000000001176e-05,"{'C13': 36, 'C24': 36, 'C12': 36, 'C14': 36, 'C23': 36, 'C34': 36}",False,False,False,False,,0.0062325251296059085,36,,0.007184713108464297,36,-0.004835,0.006232794598510236,36,-0.004860000000000001,0.006543519140353948,36,-0.004824999999999999,0.00777671514698643,36,-0.00485,0.006489622862812396,36,baseline_m5p000mm_seed_202,202,0,0.10185996501240879,False,completed,9446400,24aacca6323edcc16c9ebab77c5c5d710ed96b6afc250a88ff15164410e17bf3,"['carrier_phase_sign', 'platform', 'scene', 'simulation_geometry', 'waveform']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
