beam_index,theta_cmd_deg,pair,effective_sample_count,cross_real,cross_imag,cross_magnitude,phase_rad,right_minus_left_phase_rad,coherence
0,-6.0,C12,32768,-0.1831980257989396,-0.13120293836448024,0.22533470148226734,-2.5200893308399674,2.5200893308399674,0.006879255603694225
0,-6.0,C13,32768,-0.044386423756220164,-0.08342441202587962,0.0944975509509663,-2.0597583330568896,,0.0028985821310549354
0,-6.0,C14,32768,0.10695002598708993,0.07645641295859149,0.13146821342489556,0.6206427551225586,-0.6206427551225586,0.004006045016093325
0,-6.0,C23,32768,-0.19827442927912067,-0.18114300875571487,0.26856198339868215,-2.4013157500910087,-2.4013157500910087,0.008220534447353042
0,-6.0,C24,32768,-0.1928117347369449,-0.030222467719274157,0.19516598732185014,-2.9861117714093837,,0.005934575475932318
0,-6.0,C34,32768,0.01508869932294521,-0.10536423034909612,0.10643913699535353,-1.4285582519456055,1.4285582519456055,0.0032519103060162416
1,-4.0,C12,32768,0.06395618835730547,-0.010383337522058986,0.06479357782444287,-0.16094652702509205,0.16094652702509205,0.0019655597842237853
1,-4.0,C13,32768,0.03415682647037907,-0.03943694360660705,0.05217241910778427,-0.8570222292523445,,0.0015894503550947002
1,-4.0,C14,32768,-0.18204305396869722,0.04337796871394298,0.18713984521741442,2.9076707326302453,-2.9076707326302453,0.00567415083941363
1,-4.0,C23,32768,0.11988813996853245,-0.182667577244079,0.2184962468358118,-0.9899919813315614,-0.9899919813315614,0.006665453860915852
1,-4.0,C24,32768,0.053409659703699805,-0.16982389633922987,0.17802456998263613,-1.2660901958536481,,0.005404982697232517
1,-4.0,C34,32768,0.03881045207809535,-0.15088296614643318,0.15579448213480424,-1.319031912286506,1.319031912286506,0.00475026821462717
2,-2.0,C12,32768,0.10772637062387058,-0.24881149352262527,0.2711312048377149,-1.162199649910558,1.162199649910558,0.00824912817776232
2,-2.0,C13,32768,0.09177717016341963,0.028373861368977387,0.09606313013946209,0.29983944734722834,,0.0029270306108564515
2,-2.0,C14,32768,0.3347703798337986,0.016822882840906325,0.33519280511542104,0.050209769233912876,-0.05020976923391288,0.010217523634329522
2,-2.0,C23,32768,0.1615825891822979,0.016860955060241545,0.16245991792561862,0.10397255072211264,0.10397255072211266,0.004973578368770107
2,-2.0,C24,32768,-0.11132316684955568,-0.03256726725658197,0.11598911317005423,-2.8569873487770616,,0.0035523880160077343
2,-2.0,C34,32768,-0.16895308566197817,0.28681142109373586,0.3328752565519282,2.1031430966279663,-2.1031430966279663,0.010210021703645726
3,0.0,C12,32768,0.0271367459551181,0.15398585761496295,0.15635871362494724,1.3963586041772202,-1.3963586041772202,0.004763045569640279
3,0.0,C13,32768,0.10792080849241097,-0.35232682153923756,0.368484857330118,-1.2735617324917885,,0.011285950425851104
3,0.0,C14,32768,0.0007291561784229725,-0.10526674908146659,0.1052692743915003,-1.563869690192886,1.563869690192886,0.003206007673592033
3,0.0,C23,32768,0.03955300199298815,-0.18642336511663332,0.1905731120280794,-1.3617289731990685,-1.3617289731990685,0.0058016731216108145
3,0.0,C24,32768,0.2347073671322722,-0.15930963116127717,0.2836672465529029,-0.596327252226071,,0.008587075049787654
3,0.0,C34,32768,0.07311025211638562,0.14046261554354958,0.1583504194179999,1.0908865593931116,-1.0908865593931116,0.0048196014731042465
4,2.0,C12,32768,0.30026370868787994,0.0639940568648451,0.30700738438842323,0.2099844411948919,-0.20998444119489193,0.009394932738400122
4,2.0,C13,32768,0.06413559008947123,0.1934859479691987,0.20383862729537833,1.250719969862234,,0.006202087350874585
4,2.0,C14,32768,-0.05515507672125129,0.07093554677773739,0.0898550737843094,2.2316900216232085,-2.2316900216232085,0.002751000792504749
4,2.0,C23,32768,0.024359085357597107,-0.02370647977222539,0.033990619627327086,-0.7718215938444994,-0.7718215938444994,0.0010357879092748044
4,2.0,C24,32768,-0.017569276812831297,0.1828889126048677,0.18373087340323843,1.6665677303513589,,0.00563365973865518
4,2.0,C34,32768,0.08979197010070564,0.11475146438952338,0.14570688547253374,0.9068232561626912,-0.9068232561626912,0.00444216910740725
5,4.0,C12,32768,-0.05302017646145796,-0.04114783370121107,0.06711395779051227,-2.4816089648946087,2.4816089648946087,0.00204783430718751
5,4.0,C13,32768,0.008923933636160328,0.0637849436457816,0.06440617693543166,1.431792005807697,,0.0019717769223321843
5,4.0,C14,32768,-0.09943595588074453,-0.19167801625439648,0.21593510885712414,-2.0493434439381413,2.0493434439381413,0.006626794030634251
5,4.0,C23,32768,0.1456692632135939,0.07109986693023349,0.16209480350303712,0.45407515905346507,0.45407515905346507,0.00493188321995827
5,4.0,C24,32768,0.11880256830476427,0.04112022922584234,0.12571763395559907,0.3332162131359681,,0.0038343331561743587
5,4.0,C34,32768,0.054445637017954226,-0.08793982791202541,0.10342988312614237,-1.0164337854230499,1.0164337854230499,0.0031651039261476805
6,6.0,C12,32768,0.15227525165550942,0.08857610475577368,0.17616321579845923,0.5268431081852951,-0.5268431081852951,0.005382916487359984
6,6.0,C13,32768,0.031176352655239756,-0.01194484104586592,0.03338628749194612,-0.3658860752638463,,0.0010151663783034956
6,6.0,C14,32768,-0.14362136667252526,0.06086406831361739,0.15598567811362887,2.7407545975120473,-2.7407545975120473,0.004745965387891155
6,6.0,C23,32768,0.13424990750890256,-0.159323438415608,0.2083434560880685,-0.8705994601208734,-0.8705994601208734,0.006380570630150916
6,6.0,C24,32768,-0.1406007852118118,-0.010286567941425469,0.1409765735226658,-3.0685612454105087,,0.004320135329535062
6,6.0,C34,32768,0.048014768121533366,-0.09846316039127082,0.10954639159735814,-1.117083939709395,1.117083939709395,0.0033405283506481535
