split,scene_id,role,method,status,pfa,hit_cells,false_clusters,selected,valid_cfar_test_cells,configured_pf,cfar_mode,lambda
target_safe_oracle,target_safe_oracle_001,target_off,J6_Joint_Phase_Surface,measured,0.010358881903353058,5378,65,65,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_001,target_on,J6_Joint_Phase_Surface,measured,0.010331915680473373,5364,65,65,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_002,target_off,J0_Current,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_002,target_on,J0_Current,measured,0.004137389053254438,2148,0,0,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_002,target_off,J5_Selective_Physics_Calibration,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_002,target_on,J5_Selective_Physics_Calibration,measured,0.004137389053254438,2148,0,0,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_002,target_off,J5_Selective_Physics_Calibration,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_002,target_on,J5_Selective_Physics_Calibration,measured,0.004137389053254438,2148,0,0,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_002,target_off,J5_Selective_Physics_Calibration,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_002,target_on,J5_Selective_Physics_Calibration,measured,0.004137389053254438,2148,0,0,519168,1e-06,dynamic,0.5
target_safe_oracle,target_safe_oracle_002,target_off,J5_Selective_Physics_Calibration,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_002,target_on,J5_Selective_Physics_Calibration,measured,0.004137389053254438,2148,0,0,519168,1e-06,dynamic,0.75
target_safe_oracle,target_safe_oracle_002,target_off,J5_Selective_Physics_Calibration,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_002,target_on,J5_Selective_Physics_Calibration,measured,0.004137389053254438,2148,0,0,519168,1e-06,dynamic,1.0
target_safe_oracle,target_safe_oracle_002,target_off,J6_Joint_Phase_Surface,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_002,target_on,J6_Joint_Phase_Surface,measured,0.004137389053254438,2148,0,0,519168,1e-06,dynamic,0.0
target_safe_oracle,target_safe_oracle_002,target_off,J6_Joint_Phase_Surface,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_002,target_on,J6_Joint_Phase_Surface,measured,0.004137389053254438,2148,0,0,519168,1e-06,dynamic,0.25
target_safe_oracle,target_safe_oracle_002,target_off,J6_Joint_Phase_Surface,measured,0.003921659270216963,2036,0,0,519168,1e-06,dynamic,0.5
